Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",181,94,50,0.002725,0.3117,0.004914,0.2808,0.8605,259,29,59,284
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",140,76,35,0.001459,0.3484,0.009539,0.0501,0.859,257,28,61,285
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",128,71,46,0.01,0.3853,0.002234,0.2713,0.8526,265,40,53,273
2,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",192,65,47,0.006551,0.1242,0.004743,0.202,0.851,262,38,56,275
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",147,108,41,0.01,0.1101,0.003593,0.0684,0.851,249,25,69,288
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",146,82,44,0.0001,0.3912,0.000995,0.2576,0.8431,246,27,72,286
2,"sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",149,115,46,0.0001,0.2862,0.01,0.1559,0.8732,277,39,41,274
2,"age,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",168,66,53,0.00368,0.1991,0.002504,0.098,0.8621,264,33,54,280
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",175,69,40,0.002629,0.2027,0.008992,0.0128,0.8558,264,37,54,276
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,44,0.0001,0.1101,0.003593,0.0684,0.8716,267,30,51,283
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",192,65,47,0.01,0.1242,0.004743,0.2713,0.859,269,40,49,273
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",173,75,37,0.00561,0.3738,0.01,0.1937,0.8352,249,35,69,278
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,110,44,0.000853,0.2645,0.000832,0.0935,0.8621,262,31,56,282
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.007235,0.2529,0.8558,259,32,59,281
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",132,110,44,0.000853,0.2645,0.000832,0.0935,0.8653,256,23,62,290
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",173,75,38,0.0001,0.4,1e-06,0.1937,0.8399,242,25,76,288
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.007235,0.2529,0.851,261,37,57,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",153,82,53,0.003569,0.3585,0.004615,0.2906,0.8558,261,34,57,279
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",140,76,35,0.001459,0.3484,0.00561,0.0501,0.8542,262,36,56,277
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",151,104,46,0.003438,0.3913,0.009539,0.01,0.8605,265,35,53,278
2,"sex,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",149,115,46,0.0001,0.2862,0.01,0.1559,0.8653,279,46,39,267
2,"sex,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",149,115,46,0.0001,0.2862,0.01,0.1559,0.8621,269,38,49,275
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",182,121,41,0.006177,0.3628,0.003092,0.1554,0.8526,266,41,52,272
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",131,106,34,0.005654,0.3923,0.007941,0.259,0.8494,259,36,59,277
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",181,69,40,0.002629,0.2027,0.008992,0.0128,0.8526,264,39,54,274
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",175,94,50,0.002725,0.3117,0.004914,0.2808,0.8558,260,33,58,280
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,74,51,0.00269,0.377,0.004393,0.0992,0.8621,262,31,56,282
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",153,82,52,0.003569,0.3349,0.004615,0.2906,0.8605,258,28,60,285
2,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",128,71,46,0.01,0.3853,0.002234,0.202,0.8748,269,30,49,283
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",170,106,47,0.009324,0.3322,0.004898,0.1988,0.8494,261,38,57,275
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",140,76,35,0.001459,0.3484,0.01,0.0501,0.8605,264,34,54,279
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",138,70,35,0.005615,0.3629,0.01,0.2936,0.8637,264,32,54,281
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,110,44,0.003569,0.3585,0.004615,0.2906,0.859,260,31,58,282
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",153,82,53,0.000853,0.2645,0.000832,0.0935,0.851,267,43,51,270
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",173,75,38,0.00561,0.3738,0.003983,0.0671,0.8685,262,27,56,286
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",191,69,38,0.000474,0.375,0.0031,0.1937,0.859,257,28,61,285
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",177,104,33,0.00269,0.04,0.005095,0.1865,0.8415,259,41,59,272
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,74,52,0.002624,0.377,0.004393,0.0992,0.8637,264,32,54,281
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",192,65,47,0.006551,0.1242,0.003901,0.2058,0.8384,261,45,57,268
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",158,110,57,0.004506,0.0882,0.004743,0.2713,0.8415,265,47,53,266
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",168,79,34,0.009397,0.2806,0.008362,0.0328,0.8447,253,33,65,280
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,74,52,0.00269,0.377,0.004393,0.0992,0.8637,262,30,56,283
2,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",169,80,59,0.002194,0.3822,0.01,0.1039,0.8669,269,35,49,278
2,"cp,trestbps,chol,oldpeak,slope,ca",137,92,63,0.008646,0.2179,0.005349,0.0898,0.8399,266,49,52,264
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",138,70,35,0.005615,0.3629,0.01,0.2936,0.8542,261,35,57,278
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",169,80,59,0.002194,0.2541,0.007604,0.1039,0.8558,256,29,62,284
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",147,108,41,0.002171,0.3912,0.000995,0.2576,0.8621,266,35,52,278
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",182,121,41,0.006177,0.3628,0.003092,0.1554,0.8526,262,37,56,276
2,"cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",173,75,38,0.00561,0.3738,0.007235,0.2529,0.8415,254,36,64,277
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.0031,0.1937,0.8621,264,33,54,280
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",138,70,35,0.005615,0.3629,0.01,0.2936,0.8574,256,28,62,285
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",131,106,34,0.005654,0.3923,0.007941,0.259,0.8574,263,35,55,278
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,44,0.0001,0.1101,0.007235,0.2529,0.8574,257,29,61,284
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.003593,0.0684,0.8653,263,30,55,283
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",168,79,35,0.009397,0.2806,0.008362,0.0328,0.8447,261,41,57,272
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",140,76,35,0.001459,0.3484,0.009539,0.0501,0.8558,254,27,64,286
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",184,105,47,0.00984,0.2362,0.008025,0.0671,0.8399,258,41,60,272
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,110,44,0.000853,0.2645,0.000832,0.0935,0.8574,265,37,53,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",153,82,53,0.003569,0.3585,0.004615,0.2906,0.8574,265,37,53,276
2,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",128,71,46,0.01,0.3853,0.002234,0.202,0.8637,261,29,57,284
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",131,106,34,0.005654,0.3923,0.007941,0.259,0.8415,260,42,58,271
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",167,83,34,0.00624,0.3863,0.006751,0.1848,0.8526,262,37,56,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3117,0.004914,0.2808,0.8542,260,34,58,279
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",181,94,50,0.002725,0.3818,0.007235,0.2529,0.8526,265,40,53,273
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",181,89,63,0.007387,0.3085,0.00381,0.1421,0.8463,260,39,58,274
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,68,44,0.000898,0.3316,0.000976,0.0671,0.8574,265,37,53,276
3,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",173,75,38,0.00561,0.3738,0.003983,0.0671,0.8653,260,27,58,286
3,"sex,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",149,115,46,0.0001,0.2862,0.01,0.1559,0.87,266,30,52,283
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",149,115,46,0.0001,0.2862,0.01,0.1559,0.859,280,51,38,262
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",165,78,51,0.0001,0.3818,0.0031,0.1937,0.8494,252,29,66,284
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,74,51,0.00269,0.377,0.004393,0.0992,0.8732,270,32,48,281
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.3818,0.007235,0.2529,0.859,262,33,56,280
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",165,78,51,0.003334,0.2645,0.000832,0.0935,0.8494,257,34,61,279
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",132,110,43,0.000853,0.3818,0.0031,0.1937,0.8605,262,32,56,281
3,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",140,76,35,0.001459,0.3484,0.01,0.0501,0.8637,257,25,61,288
3,"age,cp,trestbps,chol,fbs,restecg,oldpeak,slope,ca",168,66,53,0.00368,0.1991,0.002504,0.098,0.8526,262,37,56,276
3,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",192,65,47,0.006551,0.1242,0.004743,0.202,0.8669,265,31,53,282
3,"age,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",165,78,51,0.0001,0.3818,0.0031,0.1937,0.8241,224,17,94,296
3,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,65,47,0.01,0.1242,0.004743,0.2713,0.8463,259,38,59,275
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",131,106,34,0.005654,0.3923,0.007941,0.259,0.8558,267,40,51,273
3,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",128,71,46,0.01,0.4,0.002234,0.202,0.8653,263,30,55,283
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",153,82,52,0.003569,0.3349,0.004615,0.2906,0.8463,255,34,63,279
