Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",163,64,59,0.004045,0.3166,0.009906,0.1759,0.8621,270,39,48,274
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",169,103,34,0.005489,0.3188,0.008602,0.0277,0.8653,270,37,48,276
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",137,88,34,0.01,0.2151,1e-06,0.3,0.8621,267,36,51,277
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",160,98,47,0.006623,0.3866,0.006217,0.2725,0.8558,264,37,54,276
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",137,88,34,0.01,0.2151,1e-06,0.3,0.859,265,36,53,277
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",143,85,33,0.003426,0.2395,0.008607,0.1852,0.8669,271,37,47,276
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,115,62,0.001536,0.332,0.009068,0.0662,0.8605,267,37,51,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",152,92,46,0.004619,0.2776,0.005747,0.2859,0.8637,269,37,49,276
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,80,54,0.002955,0.1236,0.008356,0.0924,0.8685,266,31,52,282
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",146,82,57,0.001121,0.2858,0.00509,0.1773,0.8621,268,37,50,276
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,115,39,0.008876,0.1354,0.000143,0.1383,0.8415,259,41,59,272
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,108,64,0.004783,0.2671,0.005681,0.2007,0.8558,268,41,50,272
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",160,98,47,0.006623,0.3866,0.006217,0.2725,0.8653,274,41,44,272
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",148,114,47,0.004138,0.1667,0.002027,0.0969,0.8526,260,35,58,278
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",147,84,39,0.009976,0.1947,0.002527,0.0304,0.8621,269,38,49,275
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",163,64,59,0.0001,0.3842,0.00294,0.0744,0.8463,263,42,55,271
2,"cp,trestbps,chol,fbs,thalach,oldpeak,slope,ca",168,112,36,0.004045,0.3166,0.009906,0.1759,0.8431,256,37,62,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",133,122,51,0.003492,0.2046,0.005519,0.0115,0.859,269,40,49,273
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,115,39,0.008876,0.1354,0.000143,0.1383,0.8494,260,37,58,276
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",179,89,53,0.004679,0.2518,0.008897,0.072,0.8637,274,42,44,271
2,"cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",136,88,34,0.01,0.2151,1e-06,0.3,0.8558,267,40,51,273
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",169,103,62,0.00497,0.359,0.00639,0.0197,0.8526,264,39,54,274
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",185,80,54,0.002955,0.1236,0.008356,0.0924,0.8605,265,35,53,278
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,85,33,0.003426,0.2395,0.008607,0.1852,0.8637,270,38,48,275
2,"cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",143,115,62,0.001536,0.332,0.009068,0.0662,0.8558,263,36,55,277
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,115,39,0.008876,0.1354,0.00294,0.1108,0.8637,273,41,45,272
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",168,112,36,0.009085,0.2804,0.000143,0.1383,0.8447,255,35,63,278
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,73,37,0.00976,0.0079,0.01,0.2259,0.8558,265,38,53,275
2,"cp,trestbps,chol,oldpeak,slope,ca",174,68,44,0.008093,0.169,0.001162,0.2851,0.8479,252,30,66,283
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",163,64,59,0.004045,0.3166,0.009906,0.1759,0.8669,272,38,46,275
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,81,50,0.003968,0.0061,0.007329,0.0508,0.851,264,40,54,273
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",142,82,64,0.001241,0.2323,0.005411,0.0221,0.8621,265,34,53,279
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",152,113,52,0.003243,0.2054,0.001012,0.1848,0.8605,263,33,55,280
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",142,82,64,0.001241,0.2323,0.005411,0.0221,0.8653,265,32,53,281
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",174,107,52,0.005239,0.3581,0.005029,0.2501,0.8526,260,35,58,278
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",172,128,52,0.004647,0.2054,0.001012,0.1848,0.8542,261,35,57,278
2,"sex,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",152,113,52,0.003243,0.3749,0.007959,0.3,0.8558,262,35,56,278
