Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",134,87,40,0.004473,0.164,0.008533,0.0145,0.8605,267,37,51,276
1,"cp,trestbps,chol,oldpeak,slope,ca",185,87,61,0.000829,0.1378,0.004691,0.2962,0.851,253,29,65,284
1,"cp,trestbps,chol,thalach,oldpeak,slope,ca",166,81,63,0.001986,0.3512,0.002946,0.1679,0.8526,258,33,60,280
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",177,69,63,0.000276,0.3969,0.006332,0.1989,0.851,266,42,52,271
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",167,92,45,0.002873,0.0967,0.001023,0.1379,0.8685,268,33,50,280
2,"sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",139,106,38,0.006748,0.1848,0.001365,0.216,0.8637,268,36,50,277
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",190,84,56,0.001931,0.1624,0.000267,0.2181,0.8605,265,35,53,278
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",158,76,44,0.009966,0.0225,0.00061,0.064,0.8415,261,43,57,270
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",136,77,40,0.001815,0.2616,0.000474,0.0198,0.8621,262,31,56,282
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",140,70,41,0.004283,0.2775,0.003088,0.1438,0.8653,269,36,49,277
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,66,47,0.00774,0.2625,0.008444,0.01,0.8637,276,44,42,269
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",158,76,40,0.001815,0.2616,0.000474,0.0198,0.8653,268,35,50,278
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",147,69,50,0.002735,0.1553,0.008416,0.2018,0.8621,268,37,50,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",162,84,34,0.007837,0.3006,0.008714,0.2581,0.851,265,41,53,272
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",157,76,40,0.001815,0.2616,1e-06,0.0198,0.8653,263,30,55,283
2,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",134,87,40,0.004473,0.164,0.008533,0.0145,0.87,270,34,48,279
2,"sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",142,67,53,0.008128,0.2113,0.01,0.1251,0.851,261,37,57,276
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",143,85,64,0.005778,0.3041,0.004102,0.01,0.8716,278,41,40,272
2,"sex,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",128,86,37,0.007198,0.3617,0.004771,0.2565,0.8479,256,34,62,279
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",171,75,39,0.0001,0.1096,0.01,0.0883,0.8574,268,40,50,273
2,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",162,99,64,0.005323,0.0193,0.002452,0.2391,0.8574,262,34,56,279
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",185,73,48,0.003145,0.2535,0.003248,0.2853,0.8669,268,34,50,279
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,66,47,0.00774,0.2625,0.008444,0.0879,0.8605,272,42,46,271
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,66,47,0.00774,0.2625,0.008444,0.0879,0.8605,272,42,46,271
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",190,95,34,0.004189,0.16,0.000847,0.2048,0.8494,256,33,62,280
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",167,92,38,0.006748,0.1848,0.001365,0.1989,0.8558,262,35,56,278
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",139,106,45,0.002873,0.0967,0.006332,0.2181,0.859,267,38,51,275
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",140,70,41,0.004283,0.2775,0.003088,0.1438,0.8637,266,34,52,279
2,"sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",153,116,45,0.006304,0.2709,0.009241,0.027,0.859,265,36,53,277
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",174,109,35,0.001624,0.0883,0.009255,0.1189,0.8669,269,35,49,278
2,"sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",153,116,45,0.006304,0.2709,0.009241,0.027,0.8542,262,36,56,277
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",143,85,64,0.001916,0.2985,0.003249,0.1271,0.859,261,32,57,281
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",130,117,41,0.005778,0.3755,0.004102,0.2565,0.8447,257,37,61,276
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",139,106,38,0.006748,0.1848,0.001365,0.2181,0.8574,263,35,55,278
2,"age,sex,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",152,117,53,0.002782,0.0806,0.009757,0.2108,0.8574,262,34,56,279
