Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",186,68,64,0.005398,0.3198,0.002364,0.2072,0.8558,268,41,50,272
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",150,81,61,0.005321,0.2322,0.001575,0.2194,0.8605,264,34,54,279
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",148,119,57,0.004413,0.17,0.004645,0.0475,0.8399,258,41,60,272
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",136,73,50,0.007913,0.0571,0.000386,0.2233,0.8463,262,41,56,272
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",176,83,47,0.009588,0.2537,0.005316,0.1898,0.8447,271,51,47,262
2,"sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",135,72,50,0.007913,0.0571,0.000386,0.2233,0.8748,272,33,46,280
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",179,92,60,0.00194,0.3261,0.007802,0.0655,0.851,259,35,59,278
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",147,120,44,0.004509,0.1801,0.001798,0.048,0.8621,274,43,44,270
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",128,123,42,0.0001,0.3887,1e-06,0.16,0.8304,251,40,67,273
2,"age,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",150,128,39,0.009135,0.0637,0.003622,0.024,0.8605,277,47,41,266
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",192,81,61,0.005321,0.2322,0.001575,0.2194,0.859,265,36,53,277
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,73,45,0.009909,0.1029,0.000599,0.0114,0.8558,264,37,54,276
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",168,128,46,0.001362,0.1625,0.002398,0.0493,0.8637,269,37,49,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",189,114,34,0.01,0.2152,0.007509,0.0633,0.8463,273,52,45,261
2,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",130,91,46,0.004793,0.3575,0.007336,0.0736,0.8494,260,37,58,276
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",148,119,57,0.004413,0.17,0.004645,0.0475,0.851,262,38,56,275
2,"age,cp,trestbps,chol,fbs,oldpeak,slope,ca",142,90,62,0.001231,0.3782,0.001086,0.2649,0.8209,255,50,63,263
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",130,103,40,0.01,0.1625,1e-06,0.0884,0.8558,265,38,53,275
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",184,91,46,0.004793,0.2152,0.007509,0.0633,0.851,272,48,46,265
2,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",129,98,45,0.006314,0.2009,0.00092,0.1143,0.8637,263,31,55,282
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,93,55,0.004745,0.0343,0.008375,0.0536,0.8479,283,61,35,252
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",177,121,45,0.004724,0.0125,0.001678,0.0275,0.8669,267,33,51,280
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",128,123,42,0.0001,0.1801,0.001798,0.048,0.8463,271,50,47,263
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,93,55,0.004745,0.0343,0.008375,0.0536,0.8605,271,41,47,272
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",176,83,47,0.009588,0.2537,0.005316,0.1898,0.8463,250,29,68,284
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",164,117,51,0.005509,0.2323,0.000825,0.2163,0.8542,260,34,58,279
2,"age,sex,cp,trestbps,chol,thalach,oldpeak,slope,ca",134,122,44,0.002637,0.1501,0.002079,0.1057,0.8637,260,28,58,285
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,124,49,0.008064,0.1958,0.001561,0.0356,0.8621,271,40,47,273
2,"age,cp,trestbps,chol,thalach,oldpeak,slope,ca",138,75,50,0.008307,0.0609,0.002442,0.0458,0.8384,243,27,75,286
2,"cp,trestbps,chol,oldpeak,slope,ca",129,111,37,0.006279,0.0505,0.000544,0.2081,0.851,258,34,60,279
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",190,90,37,0.009461,0.3337,0.008362,0.1738,0.8273,243,34,75,279
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,101,32,0.001047,0.1973,0.007697,0.0625,0.8542,265,39,53,274
2,"cp,trestbps,chol,fbs,thalach,oldpeak,slope,ca",134,121,43,0.002637,0.1269,0.000825,0.2163,0.8494,256,33,62,280
2,"age,cp,trestbps,chol,thalach,oldpeak,slope,ca",138,75,50,0.005398,0.0609,0.002442,0.0458,0.8463,257,36,61,277
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",186,68,64,0.008307,0.3198,0.002364,0.2072,0.8574,270,42,48,271
2,"age,cp,trestbps,chol,thalach,exang,oldpeak,slope,ca",138,75,50,0.008307,0.0,0.005316,0.3,0.8399,264,47,54,266
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",176,83,46,0.009588,0.2818,0.002442,0.0458,0.8637,274,42,44,271
2,"age,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",168,128,46,0.001362,0.1875,0.000599,0.1522,0.859,267,38,51,275
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,104,64,0.000715,0.3174,0.009058,0.0114,0.8526,272,47,46,266
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",141,66,39,0.004509,0.3887,1e-06,0.2563,0.8415,251,33,67,280
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",147,120,44,0.004881,0.01,0.000162,0.16,0.859,265,36,53,277
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",130,119,39,0.00771,0.0343,0.008375,0.0536,0.8463,269,48,49,265
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,93,55,0.004745,0.0739,0.003942,0.2165,0.8669,274,40,44,273
2,"age,cp,trestbps,chol,thalach,oldpeak,slope,ca",138,75,50,0.008307,0.0609,0.002442,0.0458,0.8574,268,40,50,273
2,"age,sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",130,119,39,0.01,0.0739,0.003942,0.2165,0.8479,259,37,59,276
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",181,101,32,0.001047,0.1973,0.007697,0.0625,0.851,276,52,42,261
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",180,128,61,0.002269,0.2858,0.008469,0.274,0.8526,259,34,59,279
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",164,125,60,0.001417,0.208,0.008239,0.2986,0.832,252,40,66,273
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",169,127,64,0.007543,0.1934,0.002155,0.1462,0.8447,252,32,66,281
3,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,104,64,0.000715,0.3174,0.009058,0.0114,0.8479,270,48,48,265
3,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",129,99,45,0.006314,0.2692,0.00092,0.0356,0.8621,261,30,57,283
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",129,98,45,0.006314,0.2009,0.00092,0.1143,0.8574,258,30,60,283
3,"age,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",168,128,46,0.001362,0.1875,0.000599,0.1522,0.851,253,29,65,284
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",192,128,39,0.009135,0.0637,0.003622,0.024,0.8621,264,33,54,280
3,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",129,98,45,0.006314,0.2009,0.00092,0.1143,0.8637,261,29,57,284
