Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
2,"cp,trestbps,chol,fbs,restecg,exang,oldpeak,slope,ca",185,68,37,0.00781,0.3925,0.01,0.01,0.8384,237,21,81,292
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",139,84,51,0.001664,0.2996,0.002379,0.2003,0.8273,288,79,30,234
2,"age,cp,trestbps,chol,fbs,thalach,oldpeak,slope,ca",129,116,47,0.005245,0.209,0.000302,0.2164,0.8415,246,28,72,285
2,"cp,trestbps,chol,fbs,restecg,exang,oldpeak,slope,ca",185,68,37,0.00781,0.3925,1e-06,0.01,0.8352,232,18,86,295
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",144,97,54,0.007299,0.3998,0.005698,0.121,0.8542,263,37,55,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",139,117,40,0.008369,0.3995,0.000594,0.0507,0.8526,253,28,65,285
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",158,70,33,0.009514,0.0022,0.005643,0.1273,0.8019,295,102,23,211
2,"cp,trestbps,chol,fbs,thalach,exang,oldpeak,slope,ca",180,105,40,0.009089,0.0649,0.002678,0.1382,0.8447,249,29,69,284
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",169,107,42,0.000856,0.342,0.01,0.028,0.8336,294,81,24,232
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",169,117,47,0.00804,0.321,0.001174,0.2954,0.8574,266,38,52,275
2,"cp,trestbps,chol,oldpeak,slope,ca",129,108,53,0.00045,0.0622,0.000636,0.1443,0.8463,273,52,45,261
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,105,40,0.009089,0.0649,0.002678,0.1382,0.8526,282,57,36,256
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",140,114,63,0.007238,0.2517,0.000968,0.0199,0.8542,281,55,37,258
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",177,126,58,0.00406,0.0107,0.004857,0.219,0.851,267,43,51,270
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,105,40,0.009089,0.0649,0.002678,0.1382,0.8225,295,89,23,224
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,105,40,0.009089,0.0649,0.002678,0.1382,0.8558,246,19,72,294
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,105,40,0.009089,0.0649,0.002678,0.1382,0.8637,276,44,42,269
2,"age,sex,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",139,117,40,0.008369,0.3995,0.000594,0.0507,0.8653,266,33,52,280
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",161,77,39,0.003745,0.086,0.002779,0.2858,0.8447,279,59,39,254
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",167,76,40,0.008947,0.1118,0.003131,0.0933,0.8605,271,41,47,272
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",128,101,36,0.002597,0.3959,0.001074,0.2126,0.8479,267,45,51,268
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",132,104,44,0.009372,0.2466,0.001278,0.219,0.8463,267,46,51,267
2,"cp,trestbps,chol,oldpeak,slope,ca",177,125,58,0.00406,0.0107,0.004857,0.1203,0.7971,206,16,112,297
2,"cp,trestbps,chol,oldpeak,slope,ca",132,127,32,0.000355,0.2995,0.008932,0.2245,0.8368,242,27,76,286
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,105,40,0.009089,0.0649,0.002678,0.1382,0.7956,293,104,25,209
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",140,114,63,0.007238,0.2517,0.000968,0.0199,0.8463,280,59,38,254
2,"cp,trestbps,chol,oldpeak,slope,ca",146,111,48,0.005685,0.2493,1e-06,0.01,0.851,282,58,36,255
2,"cp,trestbps,chol,thalach,oldpeak,slope,ca",177,126,58,0.00406,0.0107,0.004857,0.219,0.8399,284,67,34,246
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",180,105,40,0.009089,0.0649,0.002678,0.1382,0.8273,225,16,93,297
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",143,79,52,0.002307,0.181,0.003781,0.1282,0.8621,276,45,42,268
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",180,105,40,0.009089,0.0649,0.002678,0.1382,0.8431,289,70,29,243
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",169,117,47,0.00804,0.321,0.001174,0.2954,0.8494,286,63,32,250
2,"cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",161,85,59,0.005073,0.1861,0.009527,0.2646,0.8621,263,32,55,281
2,"cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",139,84,42,0.000856,0.342,0.01,0.028,0.8431,285,66,33,247
2,"age,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",169,107,51,0.001664,0.1289,0.000302,0.2164,0.8605,262,32,56,281
