Generation,SelectedFeatures,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",136,92,47,0.005763,0.0384,0.004869,0.0238,0.8352,260,46,58,267
1,"cp,trestbps,chol,oldpeak,slope,ca",150,90,46,0.002757,0.1207,0.004,0.2883,0.8368,250,35,68,278
1,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,68,39,0.006631,0.2381,0.000192,0.222,0.8542,263,37,55,276
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",157,82,49,0.002329,0.2387,0.006321,0.0622,0.859,256,27,62,286
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",169,115,32,0.009334,0.3198,0.004221,0.0437,0.8526,258,33,60,280
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",151,68,39,0.006631,0.2381,0.000192,0.222,0.8542,257,31,61,282
2,"sex,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",184,104,36,0.001259,0.2148,0.008308,0.0725,0.8621,266,35,52,278
2,"age,cp,trestbps,chol,restecg,thalach,exang,oldpeak,slope,ca",133,107,42,0.003552,0.0436,0.008441,0.1113,0.8463,256,35,62,278
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",143,72,40,0.002744,0.0235,0.005377,0.1783,0.8479,261,39,57,274
2,"cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",146,94,40,0.007407,0.2393,0.009173,0.2637,0.859,270,41,48,272
2,"age,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca",155,114,39,0.005943,0.1405,1e-06,0.2751,0.8669,257,23,61,290
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",167,92,34,0.0095,0.1324,0.01,0.182,0.8542,258,32,60,281
2,"age,cp,trestbps,chol,restecg,thalach,oldpeak,slope,ca",167,91,39,0.000675,0.3067,0.000323,0.2099,0.859,265,36,53,277
2,"age,cp,trestbps,chol,fbs,restecg,thalach,oldpeak,slope,ca",167,92,34,0.0095,0.1324,0.01,0.182,0.8621,265,34,53,279
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",165,82,36,0.003245,0.3482,0.005372,0.1756,0.8605,266,36,52,277
2,"cp,trestbps,chol,restecg,oldpeak,slope,ca",191,110,61,0.004918,0.21,1e-06,0.2833,0.8637,261,29,57,284
