Generation,Individual,n1,n2,n3,lr,dr,l2,alpha,Accuracy,TP,FP,FN,TN
1,"[166, 105, 87, 0.008840490542124584, 0.12028609260751529, 0.001830008647912201, 0.28272428650672077]",166,105,87,0.00884,0.1203,0.00183,0.2827,0.81,181,43,48,207
1,"[104, 110, 47, 0.0021291623022691745, 0.2355336711000567, 0.0038652613707627795, 0.27487266050362774]",104,110,47,0.002129,0.2355,0.003865,0.2749,0.7683,182,64,47,186
1,"[185, 146, 38, 0.005277500014701656, 0.29345588910262926, 0.007625313169795858, 0.241200209787595]",185,146,38,0.005278,0.2935,0.007625,0.2412,0.7724,160,40,69,210
1,"[131, 126, 85, 0.0008970073527014864, 0.2042574457715074, 0.0002720628910471101, 0.1384006626138095]",131,126,85,0.000897,0.2043,0.000272,0.1384,0.8038,186,51,43,199
1,"[154, 131, 98, 0.009668342371777418, 0.22733170120920695, 0.007748508663688895, 0.03837910394497565]",154,131,98,0.009668,0.2273,0.007749,0.0384,0.6785,212,137,17,113
1,"[184, 140, 32, 0.007800791051062553, 0.014270544443002825, 0.009345011976352362, 0.19957139919158615]",184,140,32,0.007801,0.0143,0.009345,0.1996,0.4781,229,250,0,0
2,"[110, 112, 58, 0.004671795929525377, 0.12704391321464537, 0.005615213815709204, 0.14929405833852907]",110,112,58,0.004672,0.127,0.005615,0.1493,0.7453,187,80,42,170
2,"[161, 143, 52, 0.00011178392149731481, 0.07546979180305655, 0.01, 0.06331173060411888]",161,143,52,0.000112,0.0755,0.01,0.0633,0.6013,218,180,11,70
2,"[150, 135, 42, 0.0010160172171795624, 0.1287341833369425, 0.005006819176310594, 0.18693433073266202]",150,135,42,0.001016,0.1287,0.005007,0.1869,0.7933,179,49,50,201
2,"[149, 104, 91, 0.006464643872646969, 0.16018784891861798, 0.005993151677778271, 0.026289150937750284]",149,104,91,0.006465,0.1602,0.005993,0.0263,0.5261,229,227,0,23
2,"[181, 138, 91, 0.0012162664115982441, 0.12028609260751529, 0.001830008647912201, 0.28272428650672077]",181,138,91,0.001216,0.1203,0.00183,0.2827,0.7182,203,109,26,141
2,"[166, 105, 87, 0.008840490542124584, 0.13762106577724686, 0.0001, 0.06081823448013028]",166,105,87,0.00884,0.1376,0.0001,0.0608,0.8163,185,44,44,206
2,"[185, 146, 38, 0.005277500014701656, 0.29345588910262926, 0.007625313169795858, 0.241200209787595]",185,146,38,0.005278,0.2935,0.007625,0.2412,0.7474,200,92,29,158
2,"[107, 93, 47, 0.001019749811010774, 0.2929638141970955, 0.002997574347436742, 0.15301347440248034]",107,93,47,0.00102,0.293,0.002998,0.153,0.7975,184,52,45,198
2,"[103, 104, 91, 0.006464643872646969, 0.07078064153305164, 0.00277449629368342, 0.17634354045701886]",103,104,91,0.006465,0.0708,0.002774,0.1763,0.7766,182,60,47,190
2,"[149, 94, 43, 0.006928778981736873, 0.16018784891861798, 0.005993151677778271, 0.18693433073266202]",149,94,43,0.006929,0.1602,0.005993,0.1869,0.7349,201,99,28,151
2,"[200, 121, 32, 0.002148670946652552, 0.029701046565747125, 0.0025600977175432764, 0.15857301649711852]",200,121,32,0.002149,0.0297,0.00256,0.1586,0.762,173,58,56,192
2,"[160, 123, 81, 0.008406610445633607, 0.15252870320941625, 0.0032785669474779643, 0.2414677486455158]",160,123,81,0.008407,0.1525,0.003279,0.2415,0.666,215,146,14,104
2,"[102, 111, 89, 0.005456880108418689, 0.1353544594884211, 0.005351900059771802, 0.3]",102,111,89,0.005457,0.1354,0.005352,0.3,0.7182,204,110,25,140
2,"[154, 131, 98, 0.009668342371777418, 0.22733170120920695, 0.007748508663688895, 0.03837910394497565]",154,131,98,0.009668,0.2273,0.007749,0.0384,0.7787,206,83,23,167
2,"[166, 126, 87, 0.008840490542124584, 0.12028609260751529, 0.001830008647912201, 0.28272428650672077]",166,126,87,0.00884,0.1203,0.00183,0.2827,0.7683,139,21,90,229
2,"[131, 105, 85, 0.0008970073527014864, 0.2042574457715074, 0.01, 0.1384006626138095]",131,105,85,0.000897,0.2043,0.01,0.1384,0.6681,210,140,19,110
2,"[102, 136, 98, 0.005256228097555127, 0.25205000315773524, 0.0010235539074996483, 0.21000858388764562]",102,136,98,0.005256,0.2521,0.001024,0.21,0.7912,173,44,56,206
2,"[173, 71, 46, 0.004414139818276098, 0.2842986931313559, 0.008185286562294359, 0.010294092227821202]",173,71,46,0.004414,0.2843,0.008185,0.0103,0.7578,195,82,34,168
2,"[150, 135, 42, 0.004632281526910788, 0.1287341833369425, 0.005006819176310594, 0.026289150937750284]",150,135,42,0.004632,0.1287,0.005007,0.0263,0.7328,210,109,19,141
2,"[114, 69, 58, 0.0010160172171795624, 0.13742236540344704, 0.009489842540991186, 0.11879747575778092]",114,69,58,0.001016,0.1374,0.00949,0.1188,0.7683,198,80,31,170
2,"[104, 110, 47, 0.0021291623022691745, 0.25205000315773524, 0.0010235539074996483, 0.27487266050362774]",104,110,47,0.002129,0.2521,0.001024,0.2749,0.7578,193,80,36,170
2,"[173, 71, 46, 0.004414139818276098, 0.2355336711000567, 0.0038652613707627795, 0.010294092227821202]",173,71,46,0.004414,0.2355,0.003865,0.0103,0.7119,203,112,26,138
2,"[181, 130, 61, 0.0012162664115982441, 0.06404840665828247, 0.004193831103874407, 0.06081823448013028]",181,130,61,0.001216,0.064,0.004194,0.0608,0.7662,188,71,41,179
2,"[181, 138, 91, 0.0029865495143693486, 0.1028346106223523, 0.009421561247681247, 0.02694614332848335]",181,138,91,0.002987,0.1028,0.009422,0.0269,0.5971,222,186,7,64
2,"[104, 110, 47, 0.0021291623022691745, 0.2355336711000567, 0.0038652613707627795, 0.27487266050362774]",104,110,47,0.002129,0.2355,0.003865,0.2749,0.7724,171,51,58,199
2,"[104, 110, 47, 0.0021291623022691745, 0.2355336711000567, 0.0038652613707627795, 0.27487266050362774]",104,110,47,0.002129,0.2355,0.003865,0.2749,0.7704,181,62,48,188
2,"[187, 147, 76, 0.007646682362531218, 0.21958093912151877, 0.0006601359370458759, 0.05008225481244677]",187,147,76,0.007647,0.2196,0.00066,0.0501,0.785,190,64,39,186
2,"[102, 136, 98, 0.005256228097555127, 0.2842986931313559, 0.008185286562294359, 0.21000858388764562]",102,136,98,0.005256,0.2843,0.008185,0.21,0.5783,225,198,4,52
2,"[173, 138, 46, 0.004414139818276098, 0.25205000315773524, 0.0010235539074996483, 0.010294092227821202]",173,138,46,0.004414,0.2521,0.001024,0.0103,0.7745,180,59,49,191
2,"[181, 71, 91, 0.0012162664115982441, 0.06404840665828247, 0.0001, 0.06081823448013028]",181,71,91,0.001216,0.064,0.0001,0.0608,0.7161,215,122,14,128
2,"[107, 93, 47, 0.001019749811010774, 0.2929638141970955, 0.002997574347436742, 0.15301347440248034]",107,93,47,0.00102,0.293,0.002998,0.153,0.7432,191,85,38,165
2,"[173, 71, 46, 0.004414139818276098, 0.25205000315773524, 0.0010235539074996483, 0.010294092227821202]",173,71,46,0.004414,0.2521,0.001024,0.0103,0.762,194,79,35,171
2,"[123, 133, 60, 0.0034082620922701247, 0.025797864683054957, 0.0021369459878720653, 0.2212495317378391]",123,133,60,0.003408,0.0258,0.002137,0.2212,0.6054,221,181,8,69
2,"[104, 110, 47, 0.0021291623022691745, 0.2355336711000567, 0.0038652613707627795, 0.27487266050362774]",104,110,47,0.002129,0.2355,0.003865,0.2749,0.785,183,57,46,193
2,"[150, 135, 42, 0.0010160172171795624, 0.2842986931313559, 0.008185286562294359, 0.21000858388764562]",150,135,42,0.001016,0.2843,0.008185,0.21,0.7411,199,94,30,156
2,"[102, 136, 98, 0.005256228097555127, 0.1287341833369425, 0.005006819176310594, 0.026289150937750284]",102,136,98,0.005256,0.1287,0.005007,0.0263,0.7704,157,38,72,212
2,"[131, 104, 84, 0.0008970073527014864, 0.2042574457715074, 0.0002720628910471101, 0.08489009302372921]",131,104,84,0.000897,0.2043,0.000272,0.0849,0.7161,210,117,19,133
2,"[149, 126, 91, 0.006464643872646969, 0.16018784891861798, 0.005993151677778271, 0.18693433073266202]",149,126,91,0.006465,0.1602,0.005993,0.1869,0.691,211,130,18,120
2,"[166, 105, 98, 0.005256228097555127, 0.2842986931313559, 0.001830008647912201, 0.28272428650672077]",166,105,98,0.005256,0.2843,0.00183,0.2827,0.7808,185,61,44,189
2,"[102, 136, 87, 0.008840490542124584, 0.12028609260751529, 0.008185286562294359, 0.21000858388764562]",102,136,87,0.00884,0.1203,0.008185,0.21,0.572,224,200,5,50
2,"[173, 71, 46, 0.004414139818276098, 0.25205000315773524, 0.0010235539074996483, 0.010294092227821202]",173,71,46,0.004414,0.2521,0.001024,0.0103,0.7975,190,58,39,192
2,"[136, 150, 90, 0.0053447567373898705, 0.16808519482979628, 0.0089768908367267, 0.13564290291601902]",136,150,90,0.005345,0.1681,0.008977,0.1356,0.5365,226,219,3,31
2,"[149, 104, 91, 0.006464643872646969, 0.16018784891861798, 0.005993151677778271, 0.18693433073266202]",149,104,91,0.006465,0.1602,0.005993,0.1869,0.6033,216,177,13,73
2,"[177, 50, 81, 0.008440992141950139, 0.28268535153982394, 0.007975767857303863, 0.08425492882129822]",177,50,81,0.008441,0.2827,0.007976,0.0843,0.6117,223,180,6,70
2,"[150, 135, 42, 0.0010160172171795624, 0.1287341833369425, 0.005006819176310594, 0.010294092227821202]",150,135,42,0.001016,0.1287,0.005007,0.0103,0.7871,184,57,45,193
2,"[173, 71, 46, 0.004414139818276098, 0.25205000315773524, 0.0010235539074996483, 0.026289150937750284]",173,71,46,0.004414,0.2521,0.001024,0.0263,0.7683,204,86,25,164
2,"[102, 111, 89, 0.005456880108418689, 0.21637969562875858, 0.0055905474323612704, 0.17040576456807716]",102,111,89,0.005457,0.2164,0.005591,0.1704,0.7745,199,78,30,172
2,"[157, 143, 41, 0.0025733388248606677, 0.1353544594884211, 0.005351900059771802, 0.13697645448406193]",157,143,41,0.002573,0.1354,0.005352,0.137,0.7474,182,74,47,176
2,"[185, 146, 38, 0.005277500014701656, 0.29345588910262926, 0.007625313169795858, 0.241200209787595]",185,146,38,0.005278,0.2935,0.007625,0.2412,0.6701,212,141,17,109
2,"[185, 146, 38, 0.005277500014701656, 0.29345588910262926, 0.007625313169795858, 0.241200209787595]",185,146,38,0.005278,0.2935,0.007625,0.2412,0.572,224,200,5,50
3,"[166, 126, 87, 0.008840490542124584, 0.07078064153305164, 0.001830008647912201, 0.28272428650672077]",166,126,87,0.00884,0.0708,0.00183,0.2827,0.739,206,102,23,148
3,"[103, 104, 91, 0.006464643872646969, 0.12028609260751529, 0.00277449629368342, 0.17634354045701886]",103,104,91,0.006465,0.1203,0.002774,0.1763,0.7578,196,83,33,167
3,"[114, 69, 47, 0.0021291623022691745, 0.2355336711000567, 0.009489842540991186, 0.11879747575778092]",114,69,47,0.002129,0.2355,0.00949,0.1188,0.7912,182,53,47,197
3,"[104, 110, 58, 0.0010160172171795624, 0.13742236540344704, 0.0038652613707627795, 0.27487266050362774]",104,110,58,0.001016,0.1374,0.003865,0.2749,0.7662,202,85,27,165
3,"[173, 93, 47, 0.001019749811010774, 0.2929638141970955, 0.002997574347436742, 0.010294092227821202]",173,93,47,0.00102,0.293,0.002998,0.0103,0.7724,175,55,54,195
3,"[107, 71, 46, 0.004414139818276098, 0.25205000315773524, 0.0010235539074996483, 0.15301347440248034]",107,71,46,0.004414,0.2521,0.001024,0.153,0.7662,199,82,30,168
3,"[102, 111, 89, 0.005456880108418689, 0.21637969562875858, 0.0055905474323612704, 0.17040576456807716]",102,111,89,0.005457,0.2164,0.005591,0.1704,0.5929,222,188,7,62
